Rank,SBScore,Rating,User,Subscribers,VideoViews
369,16291,B,[tackle4826] - Tackle Minecraft,1065156,369380165
55,602,A,?FavijTVª,3497915,1528502327
338,8483,B-plus,876TV,580006,398182103
430,5318,B-plus,AA9skillz,1432948,323783596
460,2944,B-plus,Achievement Hunter,1258943,309111013
458,1686122,C-and-D,AdvertisingMZ,9582,309091356
381,964,A,Afreim,3017030,365152536
481,3177,B-plus,AJ3,1209291,298600504
91,3353,B-plus,aLexBY11,6593009,1025986329
270,6320,B-plus,alexelcapo,1296030,465731253
32,3078,B-plus,Ali-A,8736414,2199164030
51,304,A,AM3NlC,6211946,1629825683
196,1517,A-minus,Amway921WOT,1437461,581241153
20,2397,B-plus,Angry Birds,1800095,2894673370
499,42566,B,AngryBirdsNest,144382,289307913
162,3493,B-plus,AngryJoeShow,2739651,638945187
188,1596,A-minus,Annoying Orange Gaming,956606,599945794
193,18669,B,AntVenom,2410145,588918838
78,2343,B-plus,Aphmau,2591909,1113780730
402,681,A,Apixelados - Minecraft troll,1301484,342789841
315,3071,B-plus,Arazhul,933047,415364360
33,1091,A-minus,ArcadeGo.com,2707117,2194082618
262,183636,B-minus,AtheneWins,719710,475307759
14,83,A,AuthenticGames,8758096,3568572712
319,21802,B,AviatorGaming,1348959,414356606
279,5630,B-plus,Aypierre,1416640,455499789
45,3932,B-plus,Bajan Canadian - Minecraft & More,5917466,1720003371
456,4813,B-plus,BasicallyIDoWrk,2870169,310063922
394,34323,B,Battlefield,2035800,348203942
306,4231,B-plus,Bay Riffer,1917899,423007822
217,5111,B-plus,BCC Trolling,2780654,540125165
492,51032,B,BdoubleO100,1163192,294814581
487,180771,B-minus,BenderChat,1480920,296517249
236,5881,B-plus,BereghostGames,805581,514419796
408,1779,A-minus,BIBI,3112977,339286510
71,2882,B-plus,Blitzwinger,1494868,1227327034
309,25463,B,Bodil40,1918456,420347397
257,3172,B-plus,BowserBikeJustDance,295646,485355387
117,1154,A-minus,BrawlBRSTMs3 X,235482,832232843
122,1979,A-minus,BRKsEDU,5243114,808878886
183,4345,B-plus,Brofresco,1656821,611026758
401,12044,B,Bulkin,1210754,341664696
136,2967,B-plus,Burak Oyunda,2424968,717420459
377,3279,B-plus,Calfreezy,2899023,363933712
99,19091,B,Call of Duty,4728200,964827733
414,4172,B-plus,Cam Sucks at Gaming,1568290,332075850
360,95609,B,CanalDoMonark,3292099,381377695
21,1259,A-minus,CaptainSparklez,9860480,2756359274
90,1860,A-minus,CasalDeNerd,3862176,1034457012
486,28235,B,CavemanFilms,1476457,296745476
480,3611,B-plus,CBGames,809209,299514333
476,11267,B,ChaBoyyHD,1721941,303275878
330,2788,B-plus,Chaosflo44,812505,407075718
419,12442,B,chaosxsilencer,1393126,330035326
230,3770,B-plus,Chief Pat - Clash Royale,2229942,522379748
231,82101,B,ChimneySwift11,1839558,521759296
58,1084,A-minus,Chris Smoove,3366899,1497161432
320,3772,B-plus,ChrisMD,3016378,412920386
107,6771,B-plus,chuggaaconroy,1117171,900120082
